movie_id,director_id,name
9705,58498,Dominic Sena
1656,10702,Martin Campbell
12159,9198,Vincent Ward
9678,32593,Steven Brill
4442,280,Terry Gilliam
75,510,Tim Burton
330770,17627,Lucile Hadzihalilovic
9433,7256,Lee Tamahori
19959,7213,Jonathan Mostow
11973,21370,Roger Donaldson
11228,18878,Rob Cohen
77951,66191,Barry Cook
5491,5058,Roger Christian
10715,4600,Joe Dante
10197,17633,Rob Marshall
9562,7187,Richard Donner
9922,1269,Kevin Costner
9447,20629,George Miller
274854,52609,Breck Eisner
8870,56154,Antony Hoffman
9992,59,Luc Besson
36970,20030,Jacques Perrin
10077,37710,Peter Hyams
76649,4014,Paul W.S. Anderson
293644,1172908,Andrés Couturier
453,6159,Ron Howard
8587,15812,Roger Allers
72545,132876,Brad Peyton
109451,12095,Cody Cameron
9533,11091,Brett Ratner
2023,4945,Joe Johnston
71880,17494,Dennis Dugan
584,6482,John Singleton
309809,57741,Mark Osborne
4858,7832,Oliver Hirschbiegel
17711,588701,Des McAnuff
328111,124748,Chris Renaud
8698,10808,Stephen Norrington
93456,124747,Pierre Coffin
602,6046,Roland Emmerich
330,488,Steven Spielberg
953,18863,Eric Darnell
9693,11218,Alfonso Cuarón
36657,9032,Bryan Singer
8909,23430,Timur Bekmambetov
9802,865,Michael Bay
950,5714,Carlos Saldanha
1824,13426,Peter Segal
2976,20739,Adam Shankman
11026,16938,Renny Harlin
332,4759,David Kellogg
75656,18865,Louis Leterrier
38365,17494,Dennis Dugan
594,488,Steven Spielberg
15189,109857,Thor Freudenthal
11678,10702,Martin Campbell
6538,5342,Mike Nichols
10555,12058,Vicky Jenson
1125,15557,Bill Condon
4551,37932,F. Gary Gray
612,488,Steven Spielberg
9567,20907,Antoine Fuqua
37821,36797,Robert Luketic
203801,956,Guy Ritchie
2539,3388,James L. Brooks
9297,57193,Gil Kenan
3172,8246,Barry Levinson
6520,3415,Jerry Zucker
1439,17167,Andy Tennant
37958,56512,Tarsem Singh
2026,1011158,Florent-Emilio Siri
7450,12881,Gary Goldman
11375,4037,Ron Shelton
9425,4014,Paul W.S. Anderson
25769,94220,Àlex Pastor
23685,57646,Henry Selick
11866,12028,John Moore
9741,11614,M. Night Shyamalan
211672,8023,Kyle Balda
23629,15217,Zack Snyder
8688,1150,Brian De Palma
10153,8246,Barry Levinson
153518,52701,Fergal Reilly
8676,17167,Andy Tennant
20829,41039,Judd Apatow
4349,36602,Peter Berg
9718,55710,Adam McKay
10808,52112,Steve Carr
197,2461,Mel Gibson
25,39,Sam Mendes
35,197,David Silverman
11086,4027,Frank Darabont
10477,16938,Renny Harlin
1997,2352,Jean-Jacques Annaud
6947,11614,M. Night Shyamalan
3050,31024,Betty Thomas
2675,11614,M. Night Shyamalan
809,5524,Andrew Adamson
920,7879,John Lasseter
4806,1201,Garry Marshall
7451,18878,Rob Cohen
228165,217174,Paul Tibbitt
3595,6159,Ron Howard
16869,138,Quentin Tarantino
879,488,Steven Spielberg
1573,16938,Renny Harlin
9257,47640,Clark Johnson
1903,11649,Cameron Crowe
9697,11614,M. Night Shyamalan
395,4014,Paul W.S. Anderson
23398,31024,Betty Thomas
10590,2460,Randall Wallace
117263,20907,Antoine Fuqua
200,2388,Jonathan Frakes
44943,66739,Jonathan Liebesman
587,510,Tim Burton
10395,5342,Mike Nichols
57212,488,Steven Spielberg
152760,1461,George Clooney
2756,2710,James Cameron
33909,1152,Oliver Stone
49017,1167470,Gary Shore
9882,9181,Edward Zwick
2270,957,Matthew Vaughn
978,2352,Jean-Jacques Annaud
44564,6159,Ron Howard
3132,5572,Joel Schumacher
8814,10765,Andrzej Bartkowiak
8427,31024,Betty Thomas
52520,80923,Måns Mårlind
80585,20739,Adam Shankman
10592,17812,Gregory Hoblit
49021,141688,Gary McKendry
11535,1090,John McTiernan
10550,65615,Wych Kaosayananda
11258,30149,Mikael Salomon
12610,7395,Bobby Farrelly
59981,15780,Dan St. Pierre
201088,638,Michael Mann
5137,41378,Kerry Conran
3093,30365,Michael Caton-Jones
107846,29605,Mikael Håfström
188207,16938,Renny Harlin
4614,23968,Phil Alden Robinson
24021,27571,David Slade
11371,7908,Frank Oz
20352,124747,Pierre Coffin
11517,52629,Joseph Ruben
214756,52139,Seth MacFarlane
26428,19840,Alejandro Amenábar
9824,59646,Kinka Usher
48988,7395,Bobby Farrelly
9008,638,Michael Mann
300673,50767,Craig Gillespie
12113,578,Ridley Scott
38778,6737,Jay Roach
72331,23430,Timur Bekmambetov
1844,15148,Jon Amiel
846,12523,Rob Bowman
9703,58656,Doug Lefler
857,488,Steven Spielberg
136797,293911,Scott Waugh
3981,17698,Nancy Meyers
425,5713,Chris Wedge
6171,8844,Lawrence Kasdan
72976,488,Steven Spielberg
603,9339,Lilly Wachowski
568,6159,Ron Howard
9021,15045,Michael Lembeck
82695,70500,Tom Hooper
9489,9248,Nora Ephron
12133,55710,Adam McKay
9342,10702,Martin Campbell
41733,57130,Todd Phillips
227306,11701,Angelina Jolie
5551,190,Clint Eastwood
9350,16938,Renny Harlin
9208,11401,John Woo
4244,12962,Jon Turteltaub
1852,1152,Oliver Stone
11820,10723,Mike Newell
76493,6767,Larry Charles
345,240,Stanley Kubrick
196867,82511,Will Gluck
256591,56411,Glenn Ficarra
59962,36425,McG
36648,3893,David S. Goyer
1880,8328,John Milius
9440,5342,Mike Nichols
71679,4014,Paul W.S. Anderson
10483,4014,Paul W.S. Anderson
11412,16938,Renny Harlin
11983,18596,Taylor Hackford
6795,15277,Jon Favreau
550,7467,David Fincher
11170,36425,McG
9292,7145,Michael Lehmann
10783,9248,Nora Ephron
100241,1707,Stuart Beattie
257,3556,Roman Polanski
9947,12523,Rob Bowman
189,2294,Robert Rodriguez
12618,2226,Sydney Pollack
253412,67813,Baltasar Kormákur
1427,1071,Tom Tykwer
818,6737,Jay Roach
16577,33183,David Bowers
329,488,Steven Spielberg
12160,8844,Lawrence Kasdan
9331,13015,Phillip Noyce
300168,57832,Daniel Lee
9072,35689,Keenen Ivory Wayans
3536,7213,Jonathan Mostow
9087,3026,Rob Reiner
12177,71527,Marco Schnabel
